iter	Passed	Remaining
345	618	1169
346	619	1165
347	620	1161
348	626	1167
349	627	1165
350	628	1161
351	629	1158
352	629	1154
353	630	1150
354	631	1147
355	632	1144
356	633	1140
357	634	1137
358	636	1135
359	638	1135
360	639	1132
361	640	1128
362	641	1125
363	641	1121
364	642	1118
365	643	1115
366	644	1111
367	645	1108
368	646	1105
369	647	1101
370	648	1099
371	650	1097
372	651	1094
373	651	1091
374	652	1088
375	653	1084
376	654	1081
377	655	1077
378	655	1074
379	656	1071
380	657	1068
381	658	1064
382	658	1061
383	659	1058
384	660	1055
385	663	1055
386	664	1051
387	664	1048
388	665	1045
389	666	1042
390	667	1039
391	668	1036
392	668	1033
393	670	1030
394	670	1027
395	671	1024
396	672	1021
397	673	1019
398	675	1017
399	676	1014
400	677	1012
401	678	1009
402	679	1006
403	680	1003
404	680	1000
405	681	997
406	683	995
407	684	992
408	684	989
409	685	986
410	686	983
411	687	981
412	689	979
413	690	977
414	691	974
415	691	971
416	692	968
417	693	965
418	694	963
419	695	960
420	696	957
421	697	954
422	697	951
423	699	949
424	700	947
425	702	945
426	702	943
427	704	940
428	704	938
429	705	935
430	706	932
431	707	930
432	708	927
433	709	925
434	710	922
435	710	919
436	711	916
437	712	914
438	715	914
439	716	912
440	717	909
441	718	906
442	719	904
443	719	901
444	721	899
445	721	896
446	722	893
447	723	891
448	724	888
449	725	886
450	727	885
451	729	883
452	729	881
453	730	878
454	731	876
455	732	874
456	733	871
457	734	868
458	734	866
459	735	863
460	736	860
461	737	858
462	738	856
